Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
0,46-4816999,2022-03-23,2022-04-09,Standard Class,644 XTY,B,US,West Monicachester,Missouri,64371,Region 2,UGTL75441153102783,Information Technology,Software,2100,210,50.1,430.08
1,73-5181087,2022-01-12,2022-02-27,Standard Class,475-LZM,C,US,Lake John,Idaho,91207,Region 2,GVYW14247878597778,Industrials,Airlines,4900,380,62.25,736.62
2,81-7956611,2022-01-24,2022-03-29,Second Class,V58 3HZ,D,US,Thomastown,Idaho,50112,Region 0,XENR14542827045198,Consumer Staples,Food Products,9400,490,29.06,694.03
3,57-9402637,2022-03-26,2022-04-06,First Class,ZTK 496,B,US,North Adamfurt,Colorado,09718,Region 4,ZJCO05337125698910,Consumer Discretionary,Multiline Retail,3800,770,83.25,14.85
4,26-4834140,2022-04-04,2022-04-08,Standard Class,DSU 934,D,US,Longland,Rhode Island,90806,Region 3,QPEM87055166429647,Telecommunication Services,Diversified Telecommunication Services,7900,110,66.72,269.76
5,74-7941984,2022-01-24,2022-03-20,First Class,601 TKM,D,US,Mcdonaldshire,Mississippi,08251,Region 4,BDAA82329728919136,Consumer Staples,Beverages,2700,350,91.08,658.11
6,10-0562416,2022-03-09,2022-03-27,First Class,XLI-993,D,US,Mortonmouth,South Carolina,42760,Region 4,VJAD68714014950503,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",1500,510,23.94,689.13
7,84-5136311,2022-01-16,2022-04-01,First Class,MJH 333,D,US,Samanthaview,Georgia,79340,Region 1,CCTE36064493665975,Industrials,Marine,2400,180,32.32,851.0
8,02-9166033,2022-01-12,2022-03-19,Second Class,RWS-1644,D,US,Dustinmouth,Ohio,60463,Region 0,SZRE93175676965132,Real Estate,Equity Real Estate Investment Trusts,2900,610,72.95,298.39
9,92-0867650,2022-01-23,2022-03-24,Standard Class,016Q6,A,US,Meganberg,New Mexico,98285,Region 2,NRFF54638623441231,Consumer Staples,Household Products,6300,960,45.78,23.46
10,52-0219959,2022-01-17,2022-02-28,Standard Class,861-IVI,A,US,Meredithside,Maine,15751,Region 3,UIGC71330637326788,Financials,Consumer Finance,4200,290,27.1,599.07
11,73-9809992,2022-01-01,2022-02-06,Second Class,HHK6712,D,US,New Josephchester,Montana,30450,Region 1,BTOL16656915060678,Health Care,Pharmaceuticals,200,50,57.13,945.74
12,03-4778934,2022-02-25,2022-02-25,First Class,4KM 322,B,US,East Jessica,Rhode Island,98658,Region 2,CBYA21353369242269,Industrials,Industrial Conglomerates,8300,740,51.41,371.18
13,98-7813279,2022-04-06,2022-04-08,Second Class,330-OOM,D,US,Stephensburgh,Kentucky,42571,Region 1,AJEU46977538030136,Telecommunication Services,Diversified Telecommunication Services,9800,760,48.8,108.87
14,60-0227523,2022-03-26,2022-04-05,Second Class,753-PFL,D,US,West Teresaville,South Dakota,12024,Region 4,GIPF91635396818763,Industrials,Construction & Engineering,9800,410,71.03,489.59
15,55-3670004,2022-03-08,2022-03-25,Standard Class,077GGD,D,US,South Annaview,Kentucky,59037,Region 4,UMQY38400303254705,Financials,Diversified Financial Services,600,80,49.24,510.96
16,87-4319445,2022-03-11,2022-03-27,First Class,0-U1122,C,US,Lake Chelsea,Louisiana,90515,Region 1,TBIP92664128206535,Health Care,Life Sciences Tools & Services,2100,470,4.85,836.4
17,33-4920821,2022-02-26,2022-03-28,First Class,396-QJT,D,US,North Kathleen,North Dakota,35545,Region 1,BXPY15167074396357,Utilities,Electric Utilities,4500,60,65.62,325.75
18,02-0604614,2022-03-23,2022-04-06,Second Class,5II I84,D,US,Valeriefurt,Colorado,30540,Region 4,OYIM48647859228196,Materials,Construction Materials,900,560,6.67,515.85
19,03-7717923,2022-02-15,2022-03-12,Second Class,06UI5,C,US,Charlesbury,Georgia,66268,Region 3,GLUD87524078793618,Energy,Energy Equipment & Services,5200,110,67.34,686.9
20,47-5558369,2022-02-20,2022-04-03,Second Class,262 UTL,B,US,Owenborough,Connecticut,05835,Region 1,GRWT68181739574285,Information Technology,"Electronic Equipment, Instruments & Components",1300,40,28.21,502.34
21,76-6947107,2022-01-03,2022-01-14,First Class,63I 632,A,US,Vanessaton,Montana,18869,Region 0,MAUS83482334981026,Industrials,Professional Services,5800,820,33.85,277.55
22,66-2507409,2022-01-10,2022-03-09,First Class,GI-9669,D,US,Harveyfurt,Maine,31727,Region 0,REUI22845215993542,Materials,Metals & Mining,7200,120,11.81,899.1
23,90-5730602,2022-02-06,2022-02-06,Standard Class,262 NRC,B,US,West Tarabury,Oregon,77851,Region 4,GCZM30633528705792,Telecommunication Services,Diversified Telecommunication Services,8300,930,63.19,190.22
24,38-5925162,2022-03-17,2022-03-28,Second Class,56FL0,A,US,Millerbury,Tennessee,12163,Region 4,SEOW65497358603315,Health Care,Biotechnology,6300,500,89.08,999.96
25,30-0340302,2022-01-23,2022-03-10,First Class,47Z 1283,C,US,North Jacqueline,Iowa,40889,Region 4,UHFQ31042801191040,Materials,Metals & Mining,5800,270,55.81,519.29
26,44-2460719,2022-01-20,2022-04-08,First Class,897 2KZ,A,US,Haynesfurt,New Hampshire,50603,Region 0,AVSE74510612679465,Utilities,Multi-Utilities,4200,740,81.21,720.03
27,61-3274100,2022-01-31,2022-03-02,Standard Class,FPB 159,B,US,Rileyhaven,Rhode Island,92352,Region 1,RSIL90367236923074,Industrials,Air Freight & Logistics,9500,970,4.97,191.44
28,32-8836677,2022-01-26,2022-03-09,First Class,JPA9627,C,US,Port Karen,Tennessee,82599,Region 4,SSRF88548333500382,Consumer Staples,Personal Products,5200,750,17.41,621.46
29,16-5467007,2022-03-01,2022-03-28,Standard Class,VXD 160,D,US,Woodborough,Oregon,96476,Region 3,KEXP63131354233551,Telecommunication Services,Diversified Telecommunication Services,3500,750,18.92,601.7
30,59-5008828,2022-02-18,2022-02-22,Standard Class,LFM 024,D,US,Port Josephstad,Oklahoma,47782,Region 2,TZZX30898813274980,Materials,Paper & Forest Products,7300,60,17.64,632.92
31,39-3374328,2022-02-07,2022-02-21,First Class,4527 HT,A,US,Davismouth,North Dakota,85765,Region 2,MBDW20866129223323,Financials,Consumer Finance,700,1000,77.18,208.61
32,43-9432510,2022-03-07,2022-03-11,Standard Class,8KU 753,B,US,North Jerryhaven,North Carolina,54778,Region 2,XDFL70665744584346,Consumer Staples,Food Products,3100,460,75.46,465.23
33,37-3543100,2022-02-05,2022-02-09,First Class,92X 105,A,US,Matthewport,Michigan,43947,Region 2,EYZX23081964861766,Consumer Staples,Food & Staples Retailing,700,880,60.29,579.92
